# Constructed from biom file
#OTU ID	KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9	taxonomy
OTU_52	73.0	15.0	29.0	62.0	1.0	23.0	30.0	26.0	91.0	40.0	16.0	80.0	34.0	29.0	62.0	32.0	41.0	3.0	6.0	32.0	3.0	24.0	5.0	13.0	10.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Hyphomonadaceae; g__; s__
OTU_12	1109.0	182.0	575.0	886.0	110.0	457.0	468.0	566.0	1092.0	652.0	391.0	1219.0	396.0	528.0	1054.0	579.0	780.0	122.0	125.0	616.0	141.0	460.0	116.0	87.0	147.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__Steroidobacter; s__
OTU_81	113.0	64.0	71.0	624.0	33.0	73.0	36.0	110.0	356.0	150.0	516.0	259.0	51.0	98.0	176.0	54.0	229.0	48.0	51.0	112.0	73.0	78.0	33.0	21.0	46.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__
OTU_39	79.0	29.0	70.0	63.0	21.0	39.0	61.0	54.0	143.0	117.0	35.0	112.0	34.0	40.0	79.0	38.0	198.0	15.0	26.0	52.0	18.0	33.0	22.0	23.0	22.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__
OTU_2	1812.0	531.0	1791.0	1466.0	328.0	779.0	490.0	1014.0	2121.0	2301.0	542.0	1977.0	565.0	1703.0	2056.0	964.0	3239.0	293.0	280.0	900.0	396.0	749.0	226.0	236.0	309.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces; s__mirabilis
OTU_3	1180.0	1249.0	1182.0	2819.0	314.0	964.0	821.0	1362.0	2456.0	1388.0	1132.0	3070.0	910.0	1052.0	3568.0	1121.0	1641.0	418.0	385.0	752.0	573.0	1112.0	329.0	272.0	506.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Methylibium; s__
OTU_1	1803.0	2389.0	1541.0	2325.0	128.0	4090.0	3193.0	2422.0	3933.0	11048.0	2330.0	2480.0	1468.0	1370.0	3471.0	3296.0	2098.0	188.0	134.0	1839.0	204.0	2768.0	132.0	123.0	209.0	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__
OTU_5	922.0	154.0	386.0	699.0	86.0	399.0	351.0	428.0	992.0	298.0	299.0	1095.0	383.0	282.0	883.0	340.0	635.0	93.0	72.0	470.0	118.0	378.0	93.0	88.0	93.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__elkanii
OTU_262	80.0	24.0	47.0	58.0	16.0	50.0	69.0	29.0	256.0	45.0	22.0	148.0	38.0	39.0	227.0	71.0	201.0	23.0	20.0	113.0	18.0	42.0	22.0	19.0	27.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Actinoplanes; s__
OTU_67	73.0	32.0	16.0	23.0	5.0	6.0	16.0	19.0	35.0	85.0	29.0	26.0	15.0	16.0	26.0	16.0	42.0	4.0	7.0	16.0	10.0	16.0	3.0	9.0	7.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Actinoplanes; s__
OTU_49	1595.0	1194.0	1163.0	2095.0	373.0	816.0	646.0	1072.0	2606.0	2060.0	632.0	3650.0	725.0	1362.0	2240.0	841.0	2626.0	567.0	463.0	1049.0	661.0	1097.0	389.0	325.0	528.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Rubrivivax; s__
OTU_111	899.0	758.0	673.0	1216.0	216.0	425.0	447.0	840.0	1709.0	2324.0	361.0	2069.0	364.0	673.0	1223.0	351.0	1495.0	317.0	267.0	409.0	409.0	664.0	187.0	194.0	282.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
OTU_23	419.0	55.0	268.0	365.0	42.0	164.0	251.0	138.0	440.0	197.0	129.0	616.0	141.0	182.0	523.0	327.0	365.0	84.0	70.0	298.0	132.0	123.0	78.0	87.0	65.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__; s__
